symbol,event_type,ex_date,record_date,pay_date,ratio,cash_amount
AOS,dividend,2021-04-29,,,,0.26
AOS,dividend,2021-07-29,,,,0.26
AOS,dividend,2021-10-28,,,,0.28
AOS,dividend,2022-01-28,,,,0.28
AOS,dividend,2022-04-28,,,,0.28
AOS,dividend,2022-07-28,,,,0.28
AOS,dividend,2022-10-28,,,,0.3
AOS,dividend,2023-01-30,,,,0.3
AOS,dividend,2023-04-27,,,,0.3
AOS,dividend,2023-07-28,,,,0.3
AOS,dividend,2023-10-30,,,,0.32
AOS,dividend,2024-01-30,,,,0.32
AOS,dividend,2024-04-29,,,,0.32
AOS,dividend,2024-07-31,,,,0.32
AOS,dividend,2024-10-31,,,,0.34
AOS,dividend,2025-01-31,,,,0.34
AOS,dividend,2025-04-30,,,,0.34
AOS,dividend,2025-07-31,,,,0.34
AOS,split,1993-08-17,,,2.0,
AOS,split,1998-08-18,,,1.5,
AOS,split,2010-11-16,,,1.5,
AOS,split,2013-05-16,,,2.0,
AOS,split,2016-10-06,,,2.0,
ABT,dividend,1983-01-11,,,,0.005892
ABT,dividend,1983-04-11,,,,0.007014
ABT,dividend,1983-07-11,,,,0.007014
ABT,dividend,1983-10-07,,,,0.007014
ABT,dividend,1984-01-09,,,,0.007014
ABT,dividend,1984-04-09,,,,0.008417
ABT,dividend,1984-07-09,,,,0.008417
ABT,dividend,1984-10-09,,,,0.008417
ABT,dividend,1985-01-09,,,,0.008417
ABT,dividend,1985-04-09,,,,0.00982
ABT,dividend,1985-07-09,,,,0.00982
ABT,dividend,1985-10-08,,,,0.00982
ABT,dividend,1986-01-09,,,,0.00982
ABT,dividend,1986-04-09,,,,0.011784
ABT,dividend,1986-07-09,,,,0.011784
ABT,dividend,1986-10-08,,,,0.011784
ABT,dividend,1987-01-09,,,,0.011784
ABT,dividend,1987-04-09,,,,0.014028
ABT,dividend,1987-07-09,,,,0.014028
ABT,dividend,1988-01-11,,,,0.014028
ABT,dividend,1988-04-11,,,,0.016834
ABT,dividend,1988-07-11,,,,0.016834
ABT,dividend,1988-10-07,,,,0.016834
ABT,dividend,1989-01-09,,,,0.016834
ABT,dividend,1989-04-10,,,,0.019639
ABT,dividend,1989-07-10,,,,0.019639
ABT,dividend,1989-10-06,,,,0.019639
ABT,dividend,1990-01-08,,,,0.019639
ABT,dividend,1990-04-06,,,,0.023567
ABT,dividend,1990-07-09,,,,0.023567
ABT,dividend,1990-10-09,,,,0.023567
ABT,dividend,1991-01-09,,,,0.023567
ABT,dividend,1991-04-09,,,,0.028056
ABT,dividend,1991-07-09,,,,0.028056
ABT,dividend,1991-10-08,,,,0.028056
ABT,dividend,1992-01-09,,,,0.028056
ABT,dividend,1992-04-09,,,,0.033668
ABT,dividend,1992-07-09,,,,0.033668
ABT,dividend,1992-10-08,,,,0.033668
ABT,dividend,1993-01-11,,,,0.033668
ABT,dividend,1993-04-08,,,,0.038157
ABT,dividend,1993-07-09,,,,0.038157
ABT,dividend,1993-10-08,,,,0.038157
ABT,dividend,1994-01-10,,,,0.038157
ABT,dividend,1994-04-11,,,,0.042646
ABT,dividend,1994-07-11,,,,0.042646
ABT,dividend,1994-10-07,,,,0.042646
ABT,dividend,1995-01-09,,,,0.042646
ABT,dividend,1995-04-07,,,,0.047135
ABT,dividend,1995-07-12,,,,0.047135
ABT,dividend,1995-10-11,,,,0.047135
ABT,dividend,1996-01-10,,,,0.047135
ABT,dividend,1996-04-11,,,,0.053868
ABT,dividend,1996-07-11,,,,0.053868
ABT,dividend,1996-10-10,,,,0.053868
ABT,dividend,1997-01-13,,,,0.053868
ABT,dividend,1997-02-21,,,,0.060602
ABT,dividend,1997-04-11,,,,0.060602
ABT,dividend,1997-07-11,,,,0.060602
ABT,dividend,1997-10-10,,,,0.060602
ABT,dividend,1998-01-13,,,,0.060602
ABT,dividend,1998-04-13,,,,0.067335
ABT,dividend,1998-07-13,,,,0.067335
ABT,dividend,1998-10-13,,,,0.067335
ABT,dividend,1999-01-13,,,,0.067335
ABT,dividend,1999-04-13,,,,0.076313
ABT,dividend,1999-07-13,,,,0.076313
ABT,dividend,1999-10-13,,,,0.076313
ABT,dividend,2000-01-12,,,,0.076313
ABT,dividend,2000-04-12,,,,0.085291
ABT,dividend,2000-07-12,,,,0.085291
ABT,dividend,2000-10-11,,,,0.085291
ABT,dividend,2001-01-10,,,,0.085291
ABT,dividend,2001-04-10,,,,0.094269
ABT,dividend,2001-07-11,,,,0.094269
ABT,dividend,2001-10-11,,,,0.094269
ABT,dividend,2002-01-11,,,,0.094269
ABT,dividend,2002-04-11,,,,0.105492
ABT,dividend,2002-07-11,,,,0.105492
ABT,dividend,2002-10-10,,,,0.105492
ABT,dividend,2003-01-13,,,,0.105492
ABT,dividend,2003-04-11,,,,0.109981
